age,workclass,education,education_years,marital_status,occupation,relationship,race,sex,hours_week,country,permit,stress
28,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,,Female,40,United-States,B,0
19,Private,Some-college,10,Never-married,Sales,Own-child,,Male,20,United-States,M,0
32,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,,Male,40,United-States,M,0
30,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,,Female,40,United-States,C,0
52,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,,Female,38,United-States,B,0
32,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,,Male,48,United-States,B,1
23,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,40,United-States,C,0
57,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Tech-support,Husband,,Male,38,United-States,C,1
36,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,,Female,40,United-States,M,0
26,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,,Male,55,United-States,D,0
52,Self-emp-not-inc,12th,8,Married-civ-spouse,Exec-managerial,Husband,,Male,50,United-States,B,1
51,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,,Male,50,United-States,D,0
21,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,,Female,30,United-States,C,0
37,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,,Male,40,Philippines,D,1
58,Local-gov,HS-grad,9,Married-civ-spouse,Sales,Husband,,Male,40,United-States,C,0
23,Private,Some-college,10,Never-married,Farming-fishing,Not-in-family,,Female,50,United-States,B,0
27,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,,Male,45,United-States,C,0
28,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,,Female,40,Guatemala,B,0
32,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,,Male,40,United-States,M,1
23,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,,Male,45,United-States,C,0
64,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,B,0
53,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,,Male,40,Greece,D,1
46,Private,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,,Male,40,United-States,D,1
51,Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,,Male,40,United-States,A,0
20,Private,9th,5,Never-married,Adm-clerical,Unmarried,Black,Female,20,United-States,D,0
46,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,,Male,40,United-States,M,0
35,Private,Bachelors,13,Never-married,Other-service,Unmarried,,Female,40,United-States,C,1
37,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,30,United-States,C,0
31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,,Male,40,United-States,A,1
47,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,,Male,40,United-States,C,1
40,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,,Female,40,United-States,A,0
46,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,,Female,40,United-States,A,1
23,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,,Male,45,United-States,B,0
57,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,,Male,40,United-States,A,0
39,Private,HS-grad,9,Divorced,Sales,Not-in-family,,Male,40,United-States,M,0
20,Private,HS-grad,9,Never-married,Other-service,Not-in-family,,Female,35,United-States,B,0
56,Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,,Female,15,United-States,A,0
17,Private,11th,7,Never-married,Prof-specialty,Own-child,,Female,20,United-States,B,0
34,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,50,Philippines,C,1
52,Local-gov,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,,Female,40,United-States,A,0
36,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,,Female,40,United-States,A,0
35,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,,Female,55,United-States,D,0
22,Private,Some-college,10,Never-married,Sales,Not-in-family,Black,Female,30,United-States,C,0
50,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,,Male,55,United-States,C,1
52,,Assoc-voc,11,Married-civ-spouse,,Husband,,Male,50,United-States,B,1
28,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Other-service,Wife,,Female,5,United-States,B,0
43,Private,Bachelors,13,Never-married,Other-service,Unmarried,Black,Female,35,United-States,D,1
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,,Male,40,United-States,M,0
18,Private,11th,7,Never-married,Sales,Own-child,,Female,20,United-States,B,0
26,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,,Male,40,United-States,M,0
55,Federal-gov,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,,Male,40,United-States,B,1
45,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,,Female,42,United-States,D,1
32,Federal-gov,Some-college,10,Never-married,Exec-managerial,Not-in-family,,Male,40,United-States,C,0
23,Local-gov,HS-grad,9,Never-married,Sales,Own-child,Black,Male,32,United-States,B,0
47,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,,Female,40,United-States,D,1
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,,Female,20,United-States,M,0
26,State-gov,HS-grad,9,Divorced,Adm-clerical,Own-child,,Female,30,United-States,M,0
47,Private,HS-grad,9,Never-married,Farming-fishing,Unmarried,,Female,46,United-States,B,0
47,Private,Some-college,10,Divorced,Other-service,Unmarried,,Female,45,United-States,C,1
52,Private,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,,Male,40,Mexico,C,0
65,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Female,40,United-States,C,0
70,,HS-grad,9,Widowed,,Unmarried,,Female,4,United-States,C,0
50,Private,10th,6,Married-civ-spouse,Sales,Husband,,Male,8,El-Salvador,B,0
51,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,,Male,47,United-States,M,1
31,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,,Female,40,United-States,A,0
49,Private,10th,6,Separated,Exec-managerial,Not-in-family,Black,Male,99,United-States,D,0
25,Self-emp-inc,Assoc-voc,11,Never-married,Handlers-cleaners,Unmarried,,Male,55,United-States,M,0
32,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,,Male,40,United-States,M,0
50,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,,Female,40,United-States,M,0
32,Private,11th,7,Divorced,Machine-op-inspct,Unmarried,,Female,40,United-States,C,0
35,Private,Bachelors,13,Divorced,Sales,Not-in-family,,Female,40,United-States,M,0
23,Private,HS-grad,9,Never-married,Sales,Not-in-family,,Female,40,United-States,D,0
26,Private,Bachelors,13,Never-married,Other-service,Own-child,Black,Female,20,United-States,A,0
22,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,,Female,30,United-States,A,0
22,State-gov,Some-college,10,Never-married,Protective-serv,Own-child,Black,Female,40,United-States,B,0
39,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,,Female,32,United-States,B,0
35,Self-emp-not-inc,Bachelors,13,Separated,Craft-repair,Not-in-family,,Male,65,United-States,M,0
21,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,,Female,40,United-States,M,0
45,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,,Female,20,United-States,A,0
34,Private,Bachelors,13,Never-married,Sales,Not-in-family,,Female,35,United-States,A,0
29,Local-gov,HS-grad,9,Never-married,Protective-serv,Unmarried,,Male,45,United-States,D,0
33,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,,Male,40,United-States,C,0
26,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,40,United-States,M,0
35,Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,,Male,40,United-States,D,1
21,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,,Female,40,United-States,B,0
32,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,,Male,40,United-States,C,1
54,Private,Prof-school,15,Never-married,Prof-specialty,Other-relative,,Female,65,United-States,B,0
36,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,,Male,40,United-States,C,0
54,Private,Some-college,10,Widowed,Craft-repair,Unmarried,,Female,50,United-States,C,0
25,Private,Some-college,10,Never-married,Prof-specialty,Own-child,,Female,40,United-States,M,0
27,Private,11th,7,Married-civ-spouse,Other-service,Own-child,Asian-Pac-Islander,Male,35,India,M,0
19,Private,12th,8,Never-married,Sales,Own-child,,Male,25,United-States,A,0
26,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,,Female,40,United-States,M,0
29,Private,HS-grad,9,Married-civ-spouse,Tech-support,Own-child,Black,Male,40,United-States,M,0
24,Private,HS-grad,9,Never-married,Other-service,Own-child,,Male,35,El-Salvador,A,0
42,Private,HS-grad,9,Separated,Craft-repair,Unmarried,Black,Female,40,United-States,A,0
23,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,,Male,72,Dominican-Republic,M,0
18,Self-emp-not-inc,11th,7,Never-married,Other-service,Own-child,,Female,40,United-States,M,0
76,Local-gov,Some-college,10,Widowed,Adm-clerical,Not-in-family,,Female,30,United-States,M,0
52,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,,Male,45,United-States,C,1
62,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,,Male,40,United-States,A,0
50,Private,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,70,United-States,M,1
33,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,50,United-States,C,0
22,State-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,,Female,20,United-States,C,0
61,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,,Female,43,United-States,B,0
45,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,,Male,40,United-States,D,0
48,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,,Male,40,United-States,M,0
43,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,,Male,50,United-States,M,0
35,Private,Bachelors,13,Separated,Exec-managerial,Unmarried,,Female,42,United-States,A,0
40,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,,Male,40,United-States,M,0
33,State-gov,Bachelors,13,Never-married,Prof-specialty,Other-relative,Black,Female,40,United-States,B,0
39,Local-gov,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,,Male,59,United-States,M,0
52,Private,9th,5,Widowed,Sales,Not-in-family,,Female,25,Puerto-Rico,B,0
51,Private,Some-college,10,Widowed,Machine-op-inspct,Unmarried,,Female,36,United-States,M,0
38,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,,Female,38,United-States,D,0
31,Private,Bachelors,13,Never-married,Other-service,Not-in-family,Black,Female,50,United-States,D,0
24,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,,Female,40,United-States,D,0
56,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,,Male,40,United-States,C,1
43,Private,Some-college,10,Divorced,Tech-support,Not-in-family,,Female,50,United-States,D,0
34,Private,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,40,,A,0
42,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,,Female,40,United-States,A,0
40,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,,Male,50,United-States,D,1
65,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,,Male,40,United-States,M,1
19,Private,Some-college,10,Never-married,Sales,Other-relative,,Female,40,United-States,A,0
28,Private,10th,6,Never-married,Machine-op-inspct,Own-child,,Female,40,United-States,M,0
22,,Some-college,10,Never-married,,Own-child,,Male,40,United-States,M,0
18,State-gov,Some-college,10,Never-married,Sales,Not-in-family,,Female,40,United-States,B,0
57,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,35,India,D,0
46,Federal-gov,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,,Male,40,United-States,M,1
19,Private,HS-grad,9,Never-married,Sales,Own-child,,Female,20,United-States,M,0
34,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,,Male,40,United-States,D,0
17,Private,HS-grad,9,Never-married,Sales,Other-relative,,Male,35,Mexico,D,0
58,Local-gov,9th,5,Divorced,Sales,Not-in-family,,Female,40,United-States,D,0
72,Private,11th,7,Widowed,Adm-clerical,Unmarried,,Female,40,United-States,D,0
27,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,,Female,50,United-States,C,0
39,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,,Female,40,United-States,B,0
22,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,40,United-States,A,0
55,Private,7th-8th,4,Widowed,Sales,Unmarried,,Female,20,,A,0
28,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,,Female,40,United-States,C,1
30,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,,Male,45,United-States,B,1
37,Private,Masters,14,Divorced,Exec-managerial,Unmarried,,Female,45,United-States,D,0
36,Private,Some-college,10,Widowed,Other-service,Not-in-family,,Female,20,United-States,A,0
20,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,,Male,50,United-States,C,0
33,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,,Female,40,United-States,B,0
45,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,,Male,45,United-States,B,1
57,Self-emp-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,,Male,40,United-States,M,0
22,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,,Male,45,,D,0
41,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,,Female,40,United-States,B,1
52,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Black,Male,40,United-States,M,1
38,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,,Male,40,United-States,M,0
35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Unmarried,,Female,40,United-States,A,0
20,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,40,United-States,A,0
48,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,,Female,50,United-States,D,0
26,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,45,United-States,C,0
24,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,10,China,M,0
24,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Female,20,United-States,M,0
24,Private,Some-college,10,Never-married,Sales,Not-in-family,,Female,53,United-States,A,0
43,Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,30,United-States,A,0
67,Private,Masters,14,Married-civ-spouse,Other-service,Husband,,Male,30,United-States,D,1
54,Local-gov,Masters,14,Widowed,Prof-specialty,Unmarried,,Female,38,United-States,B,0
22,Private,HS-grad,9,Never-married,Sales,Not-in-family,,Female,48,,A,0
46,Private,5th-6th,3,Married-civ-spouse,Craft-repair,Wife,,Female,45,Italy,A,0
21,Private,HS-grad,9,Never-married,Other-service,Own-child,,Male,44,United-States,M,0
62,Private,HS-grad,9,Never-married,Sales,Other-relative,Black,Female,38,United-States,C,0
28,Private,Some-college,10,Never-married,Tech-support,Own-child,,Female,24,United-States,A,0
40,Private,Bachelors,13,Never-married,Prof-specialty,Other-relative,,Female,40,United-States,C,0
33,Local-gov,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,40,United-States,A,0
36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,,Male,45,United-States,M,1
36,Private,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,,Female,40,United-States,D,0
32,Private,Assoc-acdm,12,Separated,Exec-managerial,Unmarried,,Female,50,United-States,D,1
33,Private,11th,7,Married-civ-spouse,Sales,Husband,,Male,40,United-States,B,0
21,Private,12th,8,Never-married,Farming-fishing,Not-in-family,,Male,40,United-States,B,0
35,Self-emp-not-inc,11th,7,Divorced,Exec-managerial,Unmarried,,Female,84,United-States,M,0
39,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,,Male,40,,B,0
19,Private,HS-grad,9,Never-married,Sales,Own-child,,Female,40,United-States,D,0
41,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,,Female,43,United-States,A,0
53,Self-emp-not-inc,12th,8,Married-civ-spouse,Craft-repair,Husband,,Male,45,United-States,D,0
54,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,,Male,70,United-States,B,0
18,Private,11th,7,Never-married,Prof-specialty,Own-child,,Male,20,United-States,A,0
66,,Some-college,10,Married-civ-spouse,,Husband,,Male,40,United-States,A,0
35,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,,Male,45,United-States,C,0
25,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,,Female,15,United-States,B,0
23,Private,HS-grad,9,Never-married,Sales,Not-in-family,,Female,25,United-States,D,0
42,Local-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,,Female,40,United-States,M,1
45,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,,Female,48,United-States,D,0
39,Private,Some-college,10,Never-married,Sales,Own-child,Black,Female,40,United-States,C,0
33,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,,Male,50,United-States,A,1
29,Private,Assoc-acdm,12,Never-married,Machine-op-inspct,Unmarried,,Male,45,United-States,A,0
61,,HS-grad,9,Married-civ-spouse,,Husband,,Male,40,United-States,D,0
26,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,,Male,50,United-States,A,0
32,Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Other-relative,,Male,35,United-States,D,1
47,,HS-grad,9,Married-civ-spouse,,Not-in-family,,Female,35,United-States,A,0
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,,Female,12,United-States,C,0
30,Private,Some-college,10,Never-married,Tech-support,Unmarried,,Female,40,United-States,C,0
58,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,,Male,65,United-States,C,1
31,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,30,United-States,C,0
43,Private,Bachelors,13,Separated,Prof-specialty,Unmarried,,Female,40,United-States,B,0
23,Private,Some-college,10,Never-married,Adm-clerical,Own-child,,Female,25,United-States,D,0
38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,,Male,40,United-States,A,1
29,Private,11th,7,Divorced,Craft-repair,Unmarried,,Female,52,United-States,C,0
49,Private,Some-college,10,Never-married,Sales,Not-in-family,,Female,60,United-States,A,0
42,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,,Male,60,United-States,B,0
42,Private,Some-college,10,Never-married,Other-service,Not-in-family,,Male,45,United-States,C,0
32,,HS-grad,9,Divorced,,Unmarried,,Female,28,United-States,C,0
25,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,,Male,40,United-States,C,0
33,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,40,Jamaica,B,0
36,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,,Male,40,United-States,C,1
30,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,,Female,40,United-States,B,0
46,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,,Male,41,United-States,A,0
39,Private,Some-college,10,Divorced,Machine-op-inspct,Own-child,,Female,40,United-States,M,0
50,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,,Male,45,United-States,B,1
24,,HS-grad,9,Never-married,,Other-relative,Amer-Indian-Eskimo,Female,40,United-States,B,0
38,Private,Some-college,10,Never-married,Sales,Own-child,,Male,40,United-States,M,0
41,Private,Some-college,10,Never-married,Farming-fishing,Not-in-family,,Male,40,United-States,C,0
67,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,,Male,60,United-States,C,0
33,Private,11th,7,Never-married,Adm-clerical,Unmarried,Black,Female,38,United-States,A,0
44,Private,Some-college,10,Divorced,Handlers-cleaners,Unmarried,,Male,50,United-States,C,0
52,Private,12th,8,Separated,Machine-op-inspct,Other-relative,,Female,40,Cuba,A,0
43,Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,,Female,40,United-States,A,1
54,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,,Male,45,United-States,M,0
40,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,,Male,65,United-States,C,1
47,Private,HS-grad,9,Divorced,Sales,Not-in-family,,Male,32,United-States,B,0
40,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,,Male,40,United-States,M,0
33,Private,Some-college,10,Divorced,Sales,Not-in-family,,Female,50,United-States,D,0
42,Private,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Black,Female,40,United-States,A,0
49,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,,Female,35,United-States,B,0
21,,Some-college,10,Never-married,,Own-child,,Male,40,United-States,C,0
32,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,,Female,40,United-States,C,0
50,Private,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,,Female,40,United-States,A,0
53,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,,Male,40,United-States,C,1
22,Private,12th,8,Never-married,Handlers-cleaners,Unmarried,,Male,30,United-States,A,0
58,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,,Male,58,United-States,M,0
22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,,Female,25,United-States,A,0
59,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,,Male,65,United-States,A,1
72,Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,,Female,40,United-States,C,0
37,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,D,0
40,State-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,,Female,35,United-States,M,0
30,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,,Female,40,Mexico,B,0
35,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,,Male,45,United-States,A,0
38,Private,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,45,United-States,D,1
22,Private,HS-grad,9,Never-married,Sales,Other-relative,,Male,40,,B,0
58,Private,HS-grad,9,Married-civ-spouse,Priv-house-serv,Other-relative,Asian-Pac-Islander,Female,60,Philippines,C,0
36,Private,Some-college,10,Never-married,Machine-op-inspct,Unmarried,,Male,45,United-States,B,0
32,Private,7th-8th,4,Never-married,Priv-house-serv,Not-in-family,,Female,15,Mexico,M,0
36,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,,Male,40,United-States,B,0
33,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,,Male,60,United-States,B,1
34,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,,Female,12,United-States,B,1
31,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,,Female,52,United-States,B,0
46,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,,Female,40,United-States,M,0
45,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,,Male,40,United-States,D,0
39,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,,Female,50,Germany,B,1
36,Federal-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,,Male,40,United-States,M,0
43,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,,Male,50,United-States,M,1
55,Local-gov,10th,6,Married-civ-spouse,Craft-repair,Husband,,Male,45,United-States,B,0
68,Local-gov,10th,6,Separated,Sales,Not-in-family,Black,Female,90,United-States,D,0
51,Local-gov,HS-grad,9,Widowed,Sales,Unmarried,,Female,40,United-States,M,0
46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,40,United-States,A,0
38,Private,HS-grad,9,Never-married,Other-service,Own-child,,Female,40,United-States,D,0
39,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,,Male,55,United-States,M,0
41,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,,Male,35,Mexico,B,0
38,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,,Female,40,United-States,M,1
38,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,,Female,40,,A,1
36,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,,Male,40,United-States,D,0
21,Private,Assoc-voc,11,Married-civ-spouse,Sales,Other-relative,,Female,50,Mexico,B,0
37,Private,HS-grad,9,Separated,Craft-repair,Own-child,,Male,40,United-States,C,0
45,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,,Male,40,United-States,C,1
23,Private,Some-college,10,Never-married,Exec-managerial,Own-child,,Male,50,United-States,M,0
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,,Female,10,United-States,A,0
